año,mes,nacion,4 y 5 estrellas,3 estrellas,2 estrellas,1 estrella,hoteleros,extrahoteleros,total
2009,12,Francia,27,68,78,54,227,0,227
2009,12,Gran Bretaña,78,110,167,30,385,0,385
2009,12,Irlanda,10,14,15,5,44,0,44
2009,12,Italia,59,60,109,44,272,0,272
2009,12,Suecia,3,0,13,5,21,0,21
2009,12,Noruega,7,25,24,0,56,0,56
2009,12,Dinamarca,3,10,17,1,31,0,31
2009,12,Finlandia,15,4,30,1,50,0,50
2009,12,Suiza,7,27,33,24,91,0,91
2009,12,Austria,7,8,27,6,48,0,48
2009,12,Rusia,2,5,14,0,21,0,21
2009,12,Países del Este,13,16,35,11,75,0,75
2009,12,Resto de Europa,31,50,37,12,130,0,130
2009,12,Estados Unidos,24,32,23,5,84,0,84
2009,12,Resto de América,34,216,175,54,479,0,479
2009,12,Resto del Mundo,49,125,102,26,302,0,302
2009,12,TOTAL,3662,3865,4767,792,13086,0,13086
2009,13,España,46085,36103,38053,6678,126919,0,126919
2009,13,Holanda,158,143,282,91,674,0,674
2009,13,Bélgica,156,155,178,85,574,0,574
2009,13,Alemania,791,860,1461,508,3620,0,3620
2009,13,Francia,394,727,807,601,2529,0,2529
2009,13,Gran Bretaña,519,861,1165,165,2710,0,2710
2009,13,Irlanda,98,112,128,40,378,0,378
2009,13,Italia,408,752,1093,413,2666,0,2666
2009,13,Suecia,69,45,232,19,365,0,365
2009,13,Noruega,53,110,202,18,383,0,383
2009,13,Dinamarca,43,90,156,34,323,0,323
2009,13,Finlandia,29,54,364,19,466,0,466
2009,13,Suiza,124,146,206,81,557,0,557
2009,13,Austria,59,62,192,49,362,0,362
2009,13,Rusia,33,103,253,16,405,0,405
2009,13,Países del Este,187,180,411,169,947,0,947
2009,13,Resto de Europa,343,610,577,171,1701,0,1701
2009,13,Estados Unidos,329,296,269,37,931,0,931
2009,13,Resto de América,422,1835,1660,771,4688,0,4688
2009,13,Resto del Mundo,431,1203,1174,367,3175,0,3175
2009,13,TOTAL,50731,44447,48863,10332,154373,0,154373
2010,1,España,3886,2963,2898,363,10110,0,10110
2010,1,Holanda,22,16,45,15,98,0,98
2010,1,Bélgica,10,14,23,10,57,0,57
2010,1,Alemania,53,118,159,52,382,0,382
2010,1,Francia,24,51,118,35,228,0,228
2010,1,Gran Bretaña,194,143,151,29,517,0,517
2010,1,Irlanda,8,22,22,6,58,0,58
2010,1,Italia,35,89,128,30,282,0,282
2010,1,Suecia,2,13,27,5,47,0,47
2010,1,Noruega,6,8,6,4,24,0,24
2010,1,Dinamarca,3,18,11,6,38,0,38
2010,1,Finlandia,1,30,44,2,77,0,77
2010,1,Suiza,6,30,35,4,75,0,75
2010,1,Austria,4,14,17,0,35,0,35
2010,1,Rusia,3,18,12,5,38,0,38
2010,1,Países del Este,0,36,30,23,89,0,89
2010,1,Resto de Europa,4,47,62,16,129,0,129
2010,1,Estados Unidos,11,58,19,12,100,0,100
2010,1,Resto de América,99,207,162,35,503,0,503
2010,1,Resto del Mundo,33,136,98,34,301,0,301
2010,1,TOTAL,4404,4031,4067,686,13188,0,13188
2010,2,España,5030,3605,4038,789,13462,0,13462
2010,2,Holanda,10,18,105,20,153,0,153
2010,2,Bélgica,15,13,12,5,45,0,45
2010,2,Alemania,56,116,150,85,407,0,407
2010,2,Francia,40,106,91,63,300,0,300
2010,2,Gran Bretaña,100,86,144,18,348,0,348
2010,2,Irlanda,12,15,17,8,52,0,52
2010,2,Italia,48,60,147,63,318,0,318
2010,2,Suecia,13,9,63,15,100,0,100
2010,2,Noruega,6,6,37,3,52,0,52
2010,2,Dinamarca,10,22,38,5,75,0,75
2010,2,Finlandia,3,7,53,3,66,0,66
2010,2,Suiza,18,16,12,8,54,0,54
2010,2,Austria,11,10,37,10,68,0,68
2010,2,Rusia,20,37,13,3,73,0,73
2010,2,Países del Este,7,16,40,23,86,0,86
2010,2,Resto de Europa,38,77,50,8,173,0,173
2010,2,Estados Unidos,45,20,36,5,106,0,106
2010,2,Resto de América,34,232,159,58,483,0,483
2010,2,Resto del Mundo,23,167,88,60,338,0,338
2010,2,TOTAL,5539,4638,5330,1252,16759,0,16759
